Model,Replicate,log-likelihood,AIC,chi-squared,theta,optimized_params
sec_contact_asym_mig_size_three_epoch,Round_3_Replicate_7,-803438.97,1606895.94,2509480.93,331817.93,"4.5169,3.0976,11.5063,1.5793,3.4914,5.6688,4.8566,1.0097,0.1641"
sec_contact_asym_mig_size_three_epoch,Round_2_Replicate_15,-1082553.92,2165125.84,2345744.76,1017263.27,"1.5668,1.8259,1.4712,1.0524,1.6497,11.4201,0.7958,1.8376,0.1458"
sec_contact_asym_mig_three_epoch,Round_4_Replicate_32,-79009.76,158033.52,160204.1,976060.77,"3.8121,0.6424,1.7801,6.7552,0.4861,0.1256,2.7765"
sec_contact_asym_mig_three_epoch,Round_4_Replicate_16,-99415.8,198845.6,189726.56,994376.55,"3.2618,0.7284,2.1521,6.8293,0.5091,0.1172,2.9683"
sec_contact_asym_mig_three_epoch,Round_4_Replicate_30,-150173.58,300361.16,285878.1,921750.87,"3.6448,0.8973,1.7886,5.3629,0.4698,0.161,0.8875"
sec_contact_asym_mig_three_epoch,Round_4_Replicate_20,-150577.93,301169.86,307116.96,785894.31,"5.1569,0.9856,3.5227,6.5079,0.5515,0.2262,0.76"
sec_contact_asym_mig_three_epoch,Round_4_Replicate_28,-152878.72,305771.44,302681.67,894294.54,"4.2186,0.9183,2.2632,3.5764,0.5715,0.1119,1.0248"
sec_contact_sym_mig,Round_4_Replicate_17,-166638.58,333287.16,359759.02,1116454.95,"3.3974,0.6724,0.9141,0.1083,0.4346"
sec_contact_sym_mig,Round_4_Replicate_25,-199091.72,398193.44,434661.22,1236106.23,"2.8105,0.5854,1.1979,0.1885,0.2682"
sec_contact_sym_mig,Round_4_Replicate_7,-202323.4,404656.8,521193.26,935860.74,"3.6951,0.6613,1.2049,0.3655,0.6608"
sec_contact_sym_mig,Round_4_Replicate_21,-212501.97,425013.94,485932.56,1132230.71,"4.3179,0.7014,0.9959,0.1999,0.2311"
sec_contact_sym_mig,Round_4_Replicate_3,-231652.55,463315.1,483349.79,1058235.5,"3.1157,0.584,1.0608,0.4028,0.3754"
sec_contact_sym_mig_size,Round_4_Replicate_6,-176145.12,352304.24,428013.22,1061744.65,"1.4994,1.3978,3.5159,0.6108,1.1477,0.0655,0.6447"
sec_contact_sym_mig_size,Round_4_Replicate_14,-180690.58,361395.16,369549.88,866633.41,"5.244,3.1075,3.6216,0.7848,0.7398,0.1881,0.9381"
